trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2023-03-31,300467.SZ,14.1,15.14,13.55,14.44,13.98,0.46,3.2904,1289994.28,1848778.298
2023-04-30,300467.SZ,14.4,19.98,13.17,19.97,17.38,2.59,14.9022,3107746.4299999997,4939929.951
2023-05-31,300467.SZ,18.83,20.59,15.54,16.83,16.85,-0.02,-0.1187,4812761.95,8509782.727
2023-06-30,300467.SZ,16.61,21.63,16.57,20.43,21.44,-1.01,-4.7108,4450950.56,8256263.342
2023-07-31,300467.SZ,20.66,21.46,15.02,15.62,15.21,0.41,2.6956,3509686.38,6468255.073
2023-08-31,300467.SZ,15.54,16.12,14.38,15.75,15.94,-0.19,-1.192,1620704.69,2488749.32
2023-09-30,300467.SZ,15.6,17.66,13.48,14.44,14.22,0.22,1.5471,1704222.1300000001,2580346.84
2023-10-31,300467.SZ,14.41,15.26,13.0,14.95,14.76,0.19,1.2873,1051452.74,1500832.534
2023-11-30,300467.SZ,14.9,17.35,14.83,16.58,16.4,0.18,1.0976,1702655.69,2768116.29
2023-12-31,300467.SZ,16.51,19.99,15.41,17.38,16.29,1.09,6.6912,2786139.23,4852096.161
2024-01-31,300467.SZ,17.56,17.99,12.66,12.83,13.75,-0.92,-6.6909,1337744.55,2060771.222
2024-02-29,300467.SZ,12.63,14.77,9.09,13.39,12.76,0.63,4.9373,1568143.23,1843875.648
2024-03-31,300467.SZ,13.43,15.24,12.98,13.58,13.53,0.05,0.3695,1352737.78,1904795.625
2024-04-30,300467.SZ,13.57,14.98,11.99,13.97,14.24,-0.27,-1.8961,1401026.45,1920498.903
2024-05-31,300467.SZ,13.96,18.31,13.4,14.75,14.33,0.42,2.9309,2137811.51,3269870.483
2024-06-30,300467.SZ,14.61,15.27,12.88,13.7,14.02,-0.32,-2.2825,888532.05,1236313.428
2024-07-31,300467.SZ,13.41,13.96,12.33,13.41,13.05,0.36,2.7586,656933.12,857903.671
2024-08-31,300467.SZ,13.33,15.27,11.8,13.01,12.48,0.53,4.2468,1372966.65,1828787.329
2024-09-30,300467.SZ,12.94,16.32,11.7,15.98,14.19,1.79,12.6145,866590.58,1166080.131
2024-10-31,300467.SZ,18.8,18.8,14.54,16.6,16.43,0.17,1.0347,2474010.45,4090393.946
2024-11-30,300467.SZ,16.5,19.19,15.43,17.96,17.25,0.71,4.1159,2337244.53,4086354.295
